id,name,correct_submission_url,Category,Domain authority,Impact level,Tier level (1-4),Difficulty,Traffic estimate,Time to approval,Has captcha (y/n)
source-forge,Source Forge,https://sourceforge.net/submit,business general,35.0,Low,4,Low-Medium,40000,3-7 days,y
healthline,Healthline,https://healthline.com/submit,business general,35.0,Low,4,Low-Medium,40000,3-7 days,y
dev-community,DEV Community,http://dev.to/submit,business general,50.0,Medium,2-3,Medium,150000,2-5 days,y
get-app,Get App,https://www.getapp.com/submit,SaaS,45.0,Medium,2-3,Medium,80000,2-5 days,y
getting-smart,Getting Smart,https://www.gettingsmart.com/submit,business general,35.0,Low,4,Low-Medium,40000,3-7 days,y
software-world,Software World,https://www.softwareworld.co/submit,business general,30.0,Low,4,Low-Medium,40000,3-7 days,y
alternative-me,Alternative Me,https://alternative.me/submit,business general,30.0,Low,4,Low-Medium,40000,3-7 days,y
alternative-to,Alternative To,https://alternativeto.net/submit,business general,35.0,Low,4,Low-Medium,40000,3-7 days,y
vccircle,Vccircle,https://www.vccircle.com/company/directory/submit,business general,45.0,Medium,2-3,Medium,80000,2-5 days,y
babel-slack,Babel Slack,https://slack.babeljs.io/submit,SaaS,45.0,Medium,2-3,Medium,80000,2-5 days,y
f6s,F6S,https://www.f6s.com/submit,business general,55.0,Medium,2-3,Medium,150000,2-5 days,y
all-top-startups,All top startups,http://alltopstartups.com/submit-startup/submit,business general,35.0,Low,4,Low-Medium,40000,3-7 days,y
alltopstartups,AllTopStartups,https://alltopstartups.com/submit,business general,35.0,Low,4,Low-Medium,40000,3-7 days,y
financesonline-com,FinancesOnline.com,https://FinancesOnline.com/submit,business general,35.0,Low,4,Low-Medium,40000,3-7 days,y
vator,Vator,https://vator.tv/submit,business general,50.0,Medium,2-3,Medium,150000,2-5 days,y
crowd-reviews,Crowd Reviews,http://crowdreviews.com/submit,business general,35.0,Low,4,Low-Medium,40000,3-7 days,y
software-review,Software Review,https://provider.softwarereviews.com/submit,business general,45.0,Medium,2-3,Medium,80000,2-5 days,y
libhunt,Libhunt,https://www.libhunt.com/submit,business general,45.0,Medium,2-3,Medium,80000,2-5 days,y
built-in-chicago,Built in Chicago,https://www.builtinchicago.org/contact/send_us_tip/submit,business general,35.0,Low,4,Low-Medium,40000,3-7 days,y
cloud-native-computing-foundation,Cloud Native Computing Foundation,https://slack.cncf.io/submit,SaaS,45.0,Medium,2-3,Medium,80000,2-5 days,y
trustradius,TrustRadius,http://trustradius.com/submit,business general,35.0,Low,4,Low-Medium,40000,3-7 days,y
startups-uk,Startups UK,https://startups.co.uk/submit,business general,40.0,Medium,2-3,Medium,80000,2-5 days,y
all-top,All Top,https://alltop.com/submit,business general,45.0,Medium,2-3,Medium,80000,2-5 days,y
tekpon,Tekpon,http://tekpon.com/get-listed/submit,business general,45.0,Medium,2-3,Medium,80000,2-5 days,y
site-jabber,Site Jabber,https://sitejabber.com/submit,business general,35.0,Low,4,Low-Medium,40000,3-7 days,y
